
Log started on 2024-11-30 14:14:13.257298
════════════════════════════════════════════════════════════════════════════════
Starting TCP Port Scan
────────────────────────────────────────────────────────────────────────────────
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:124
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:125
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:126
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:127
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:128
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:129
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:130
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:131
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:132
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:133
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:134
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:135
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:136
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:137
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:138
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:139
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:140
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:141
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:142
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:143
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:144
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:145
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:146
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:147
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:148
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:149
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:150
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:151
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:152
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:153
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:154
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:155
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:156
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:157
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:158
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:159
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:160
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:161
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:162
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:163
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:164
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:165
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:166
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:167
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:168
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:169
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:170
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:171
[DEBUG] [2024-11-30 14:14:04] Scanning 127.0.0.1:172
